TFMSC Report (Airport),,,,,
,,,,,
"From 01/01/2020 To 08/29/2020 | Airport=ATL, DFW, JFK, LAX, ORD | User Class=Air Carrier | Not Business Jet | Business Aviation=N",,,,,
Date,Airport,Flight Type,Aircraft Type,Departures,Departure Seats
1/1/20,LAX - Los Angeles,Domestic,B772 - Boeing 777-200,5,"1,525"
1/1/20,LAX - Los Angeles,Domestic,B77L - Boeing 777-200LRF/LR,1,270
1/1/20,LAX - Los Angeles,Domestic,B78X - Boeing 787-10 Dreamliner,2,646
1/1/20,LAX - Los Angeles,Domestic,B752 - Boeing 757-200,31,"6,200"
1/1/20,LAX - Los Angeles,Domestic,B753 - Boeing 757-300,16,"3,840"
1/1/20,LAX - Los Angeles,Domestic,A20N - Airbus A320 Neo,1,165
1/1/20,LAX - Los Angeles,Domestic,A21N - Airbus A-321 Neo,13,"2,678"
1/1/20,LAX - Los Angeles,Domestic,A319 - Airbus A319,55,"6,940"
1/1/20,LAX - Los Angeles,Domestic,A320 - Airbus A320 All Series,37,"5,508"
1/1/20,LAX - Los Angeles,Domestic,A321 - Airbus A321 All Series,107,"19,495"
1/1/20,LAX - Los Angeles,Domestic,B737 - Boeing 737-700,90,"11,700"
1/1/20,LAX - Los Angeles,Domestic,B738 - Boeing 737-800,92,"14,760"
1/1/20,LAX - Los Angeles,Domestic,B739 - Boeing 737-900,51,"9,180"
1/1/20,LAX - Los Angeles,Domestic,B788 - Boeing 787-800,2,484
1/1/20,LAX - Los Angeles,Domestic,B789 - Boeing 787-9 Dreamliner,2,560
1/1/20,LAX - Los Angeles,Domestic,E75L - Embraer 175,92,"7,912"
1/1/20,LAX - Los Angeles,Domestic,E75S - Embraer 175,18,"1,548"
1/1/20,LAX - Los Angeles,Domestic,CRJ2 - Bombardier CRJ-200,28,"1,400"
1/1/20,LAX - Los Angeles,Domestic,CRJ7 - Bombardier CRJ-700,28,"1,960"
1/1/20,LAX - Los Angeles,Domestic,PC24 - Pilatus PC-24,1,8
1/1/20,LAX - Los Angeles,Domestic,-1 - unknown,1,0
1/1/20,ORD - Chicago,US to Foreign,A332 - Airbus A330-200,1,253
1/1/20,ORD - Chicago,US to Foreign,A333 - Airbus A330-300,6,"1,850"
1/1/20,ORD - Chicago,US to Foreign,A343 - Airbus A340-300,1,335
1/1/20,ORD - Chicago,US to Foreign,A346 - Airbus A340-600,1,372
1/1/20,ORD - Chicago,US to Foreign,A359 - Airbus 350-900,1,314
1/1/20,ORD - Chicago,US to Foreign,B748 - Boeing 747-8,2,364
1/1/20,ORD - Chicago,US to Foreign,B763 - Boeing 767-300,7,"1,610"
1/1/20,ORD - Chicago,US to Foreign,B772 - Boeing 777-200,8,"2,440"
1/1/20,ORD - Chicago,US to Foreign,B77L - Boeing 777-200LRF/LR,5,810
1/1/20,ORD - Chicago,US to Foreign,B77W - Boeing 777-300ER,12,"2,688"
1/1/20,ORD - Chicago,US to Foreign,B78X - Boeing 787-10 Dreamliner,1,323
1/1/20,ORD - Chicago,US to Foreign,B752 - Boeing 757-200,1,200
1/1/20,ORD - Chicago,US to Foreign,A20N - Airbus A320 Neo,2,330
1/1/20,ORD - Chicago,US to Foreign,A319 - Airbus A319,4,514
1/1/20,ORD - Chicago,US to Foreign,A320 - Airbus A320 All Series,8,"1,167"
